ITEM: TIMESTEP
5811
ITEM: NUMBER OF ATOMS
2272
ITEM: BOX BOUNDS pp pp pp
-2.1977204902229017e+00 1.2859395849022266e+02
2.2466831253964842e-02 1.8034138168745997e+01
3.5896127169245312e-02 1.1384103872830766e+01
ITEM: ATOMS id type x y z c_eng
1 1 -1.7655 1.80615 2.85368 -3.91134
3 1 -0.0245806 2.69727 1.4327 -4.03228
6 1 0.860284 0.86461 2.84955 -4.14166
5 1 2.68274 1.74866 1.42614 -4.1258
89 1 1.78457 3.56479 2.8469 -4.11535
10 1 5.41006 0.818255 1.41854 -4.11669
11 1 4.50272 2.63026 2.84004 -4.12516
13 1 7.2217 1.69433 2.82944 -4.11587
95 1 6.32183 3.51287 1.41783 -4.1306
14 1 9.01759 2.59162 1.38398 -3.99786
17 1 9.95483 0.771892 2.89307 -3.96944
18 1 9.95483 0.771892 0.056014 -3.96944
19 1 12.9748 2.76615 1.06038 -3.84133
102 1 10.9287 3.30274 2.63364 -3.97599
1010 1 12.1553 0.747995 2.14476 -3.84132
20 1 14.2015 0.211407 3.40853 -3.97603
21 1 14.2015 0.211407 0.571478 -3.97603
22 1 16.1127 0.922569 1.82104 -3.99799
23 1 15.1752 2.74218 3.14903 -3.96936
24 1 15.1752 2.74218 0.311981 -3.96936
107 1 16.98 3.62373 1.78382 -4.08298
25 1 17.9087 1.81996 3.21264 -4.11622
26 1 17.9087 1.81996 0.375589 -4.11622
29 1 19.7209 2.69634 1.78649 -4.11779
27 1 20.6261 0.883041 3.20205 -4.1233
28 1 20.6261 0.883041 0.365 -4.1233
31 1 22.4433 1.76337 1.77893 -4.12229
114 1 21.5362 3.57549 3.1999 -4.12104
115 1 21.5362 3.57549 0.362849 -4.12104
32 1 24.2601 2.6435 3.19273 -4.12199
33 1 24.2601 2.6435 0.355683 -4.12199
36 1 25.1686 0.83216 1.77184 -4.12167
119 1 26.0767 3.52352 1.76947 -4.12185
37 1 26.985 1.71209 3.18563 -4.12175
38 1 26.985 1.71209 0.34858 -4.12175
40 1 28.8014 2.59204 1.76237 -4.12177
39 1 29.7097 0.780552 3.17853 -4.12179
41 1 29.7097 0.780552 0.341474 -4.12179
43 1 31.5262 1.66052 1.75526 -4.12179
123 1 30.6179 3.472 3.17616 -4.12178
124 1 30.6179 3.472 0.339105 -4.12178
44 1 33.3426 2.54048 3.16905 -4.12179
45 1 33.3426 2.54048 0.331999 -4.12179
48 1 34.2509 0.729003 1.74816 -4.12179
49 1 36.0674 1.60896 3.16195 -4.12179
50 1 36.0674 1.60896 0.324893 -4.12179
133 1 35.1591 3.42044 1.74579 -4.12179
52 1 38.7921 0.677449 3.15484 -4.12179
53 1 37.8838 2.48893 1.73868 -4.12179
54 1 38.7921 0.677449 0.317788 -4.12179
137 1 39.7003 3.36889 3.15247 -4.12179
138 1 39.7003 3.36889 0.315419 -4.12179
55 1 40.6086 1.55741 1.73158 -4.12179
57 1 42.4251 2.43737 3.14537 -4.12179
58 1 42.4251 2.43737 0.308313 -4.12179
56 1 43.3333 0.625895 1.72447 -4.12179
61 1 45.1498 1.50586 3.13826 -4.12179
63 1 45.1498 1.50586 0.301208 -4.12179
145 1 44.2415 3.31734 1.7221 -4.12179
62 1 46.9663 2.38582 1.715 -4.12179
65 1 47.8745 0.574342 3.13115 -4.12179
67 1 47.8745 0.574342 0.294102 -4.12179
149 1 48.7827 3.26578 3.12879 -4.12179
150 1 48.7827 3.26578 0.291733 -4.12179
66 1 49.691 1.4543 1.70789 -4.12179
69 1 51.5075 2.33427 3.12168 -4.12179
70 1 51.5075 2.33427 0.284628 -4.12179
68 1 52.4157 0.522785 1.70078 -4.12178
154 1 53.324 3.21423 1.69842 -4.12177
73 1 54.2322 1.40276 3.11457 -4.12187
75 1 54.2322 1.40276 0.277521 -4.12187
74 1 56.0487 2.2827 1.6913 -4.1212
77 1 56.9567 0.471596 3.10749 -4.12403
79 1 56.9567 0.471596 0.270433 -4.12403
161 1 57.865 3.16182 3.10505 -4.12178
162 1 57.865 3.16182 0.267996 -4.12178
78 1 58.7757 1.35011 1.68436 -4.08817
82 1 60.5807 2.23295 3.09886 -3.91525
83 1 60.5807 2.23295 0.261808 -3.91525
84 1 61.5541 0.355617 1.67498 -3.90585
1121 1 62.9748 2.43467 3.07414 -3.89723
1122 1 62.9748 2.43467 0.237089 -3.89723
1124 1 63.9595 0.568143 1.65003 -3.93741
1123 1 64.8433 3.22836 1.64957 -3.91012
1125 1 65.7827 1.48099 3.06343 -3.99193
1126 1 65.7827 1.48099 0.226374 -3.99193
1127 1 67.7404 2.17851 1.63217 -4.10296
1128 1 69.6709 1.37331 3.03392 -4.02531
1129 1 69.6709 1.37331 0.196869 -4.02531
1130 1 70.6222 3.12103 1.61087 -4.04796
1131 1 71.5031 0.435008 1.60931 -4.13901
1132 1 72.4264 2.22075 3.02518 -4.11515
1133 1 72.4264 2.22075 0.188124 -4.11515
1134 1 74.235 1.31087 1.60201 -4.11917
1135 1 75.1377 3.10866 3.0182 -4.12352
1136 1 75.1377 3.10866 0.181152 -4.12352
1137 1 76.0464 0.399995 3.01584 -4.12074
1138 1 76.0464 0.399995 0.178787 -4.12074
1139 1 76.9516 2.19634 1.59496 -4.12238
1140 1 78.7649 1.2844 3.00878 -4.122
1141 1 78.7649 1.2844 0.171728 -4.122
1142 1 79.6716 3.07981 1.5879 -4.12166
1143 1 80.5779 0.372565 1.58554 -4.12186
1144 1 81.4845 2.16808 3.00172 -4.12174
1145 1 81.4845 2.16808 0.164664 -4.12174
1146 1 83.2974 1.25633 1.57848 -4.12177
1147 1 85.1104 0.344572 2.9923 -4.12178
1148 1 84.2039 3.05192 2.99465 -4.1218
1149 1 85.1104 0.344572 0.155246 -4.12178
1150 1 84.2039 3.05192 0.157601 -4.1218
1151 1 86.0168 2.14015 1.57142 -4.12179
1152 1 87.8298 1.22839 2.98524 -4.12179
1153 1 87.8298 1.22839 0.148183 -4.12179
1154 1 88.7363 3.02396 1.56435 -4.12179
