ITEM: TIMESTEP
13225
ITEM: NUMBER OF ATOMS
2927
ITEM: BOX BOUNDS pp pp pp
-2.0174776239694991e+00 1.3559208562396901e+02
1.7541432723851027e-02 2.2244893567276108e+01
7.8240202608196047e-03 1.0552175979739211e+01
ITEM: ATOMS id type x y z c_eng
1 1 -0.113002 2.92391 2.08989 -4.24515
2 1 -1.74775 2.40785 0.332502 -4.18994
3 1 0.470253 1.24327 0.332502 -4.31837
4 1 -1.25181 0.682379 2.08989 -4.24872
5 1 1.99137 1.77596 2.08989 -4.15687
6 1 3.52437 1.19749 0.332502 -4.35604
7 1 4.09932 2.85777 2.08989 -4.35404
8 1 5.26044 0.631189 2.08989 -4.40473
9 1 5.7854 2.27719 0.332502 -4.44291
10 1 7.47401 1.71306 2.08989 -4.44419
11 1 9.14241 1.13952 0.332502 -4.4506
427 1 6.90863 0.0441049 0.332502 -4.45234
12 1 9.70174 2.80341 2.08989 -4.44876
14 1 10.8158 0.570236 2.08989 -4.45
15 1 11.3746 2.23287 0.332502 -4.44992
16 1 13.0484 1.66327 2.08989 -4.44988
17 1 14.7226 1.09378 0.332502 -4.44984
18 1 15.2807 2.7562 2.08989 -4.44984
20 1 16.3968 0.524262 2.08989 -4.4498
21 1 16.9548 2.18666 0.332502 -4.44982
22 1 18.629 1.61711 2.08989 -4.44981
24 1 20.3031 1.04755 0.332502 -4.44981
26 1 20.8612 2.70997 2.08989 -4.44981
25 1 21.9773 0.47799 2.08989 -4.44981
27 1 22.5353 2.14042 0.332502 -4.44981
28 1 24.2095 1.57086 2.08989 -4.44981
30 1 25.8836 1.0013 0.332502 -4.44981
31 1 26.4417 2.66372 2.08989 -4.44981
32 1 27.5578 0.431743 2.08989 -4.44981
33 1 28.1158 2.09417 0.332502 -4.44981
34 1 29.79 1.52461 2.08989 -4.44981
35 1 30.348 3.18704 0.332502 -4.44981
36 1 31.4641 0.955056 0.332502 -4.44982
37 1 32.0222 2.61748 2.08989 -4.44982
38 1 33.6963 2.04793 0.332502 -4.44982
39 1 33.1382 0.385497 2.08989 -4.44982
40 1 35.3704 1.47837 2.08989 -4.44982
41 1 35.9285 3.14081 0.332502 -4.44982
42 1 37.0446 0.908809 0.332502 -4.44982
43 1 37.6027 2.57125 2.08989 -4.44982
45 1 38.7187 0.339237 2.08989 -4.44982
44 1 39.2768 2.00169 0.332502 -4.44982
46 1 40.9509 1.43212 2.08989 -4.44982
48 1 41.509 3.09458 0.332502 -4.44982
47 1 42.6249 0.862527 0.332502 -4.44982
49 1 43.1831 2.525 2.08989 -4.44982
50 1 44.299 0.292919 2.08989 -4.44981
51 1 44.8571 1.95541 0.332502 -4.44982
52 1 46.5311 1.38578 2.08989 -4.44982
54 1 47.0893 3.04829 0.332502 -4.44982
53 1 48.2051 0.816134 0.332502 -4.44981
55 1 48.7632 2.47864 2.08989 -4.44982
56 1 49.8791 0.24647 2.08989 -4.4498
57 1 50.4371 1.90894 0.332502 -4.44981
58 1 52.1111 1.33922 2.08991 -4.44979
61 1 52.6691 3.0017 0.332502 -4.44979
59 1 53.7851 0.76952 0.332502 -4.44983
60 1 54.343 2.43185 2.08993 -4.44974
